,,AF3,AF4,AF7,AF8,AFz,C1,C2,C3,C4,C5,C6,CP1,CP2,CP3,CP4,CP5,CP6,CPz,Cz,F1,F2,F3,F4,F5,F6,F7,F8,FC1,FC2,FC3,FC4,FC5,FC6,FCz,FT10,FT7,FT8,FT9,Fp1,Fp2,Fz,O1,O2,Oz,P1,P2,P3,P4,P5,P6,P7,P8,PO3,PO4,PO7,PO8,POz,Pz,T7,T8,TP10,TP7,TP8,TP9,mean
BN,sd026,0.220703125,0.220703125,0.212890625,0.216796875,0.220703125,0.22265625,0.212890625,0.228515625,0.21484375,0.2265625,0.220703125,0.228515625,0.228515625,0.197265625,0.23046875,0.23046875,0.201171875,0.232421875,0.22265625,0.220703125,0.220703125,0.220703125,0.21875,0.21484375,0.208984375,0.2109375,0.2109375,0.22265625,0.220703125,0.220703125,0.22265625,0.2109375,0.212890625,0.21484375,0.171875,0.20703125,0.21875,0.14453125,0.216796875,0.201171875,0.220703125,0.228515625,0.234375,0.236328125,0.23046875,0.234375,0.23046875,0.234375,0.23046875,0.236328125,0.23046875,0.275390625,0.232421875,0.232421875,0.23046875,0.234375,0.232421875,0.234375,0.201171875,0.2109375,0.279296875,0.236328125,0.228515625,0.12890625,0.220703125
BN,sd027,0.21875,0.21484375,0.24609375,0.21484375,0.21484375,0.212890625,0.2578125,0.21484375,0.2109375,0.212890625,0.2734375,0.20703125,0.208984375,0.216796875,0.2109375,0.212890625,0.185546875,0.185546875,0.212890625,0.21484375,0.212890625,0.21875,0.212890625,0.216796875,0.255859375,0.23828125,0.216796875,0.21484375,0.2109375,0.21484375,0.212890625,0.21875,0.212890625,0.181640625,0.111328125,0.21875,0.212890625,0.21484375,0.244140625,0.177734375,0.21484375,0.203125,0.181640625,0.1953125,0.212890625,0.185546875,0.2109375,0.1875,0.189453125,0.18359375,0.21484375,0.181640625,0.19921875,0.18359375,0.21484375,0.185546875,0.185546875,0.1875,0.2265625,0.2109375,0.255859375,0.216796875,0.1875,0.21875,0.212890625
BN,sd028,0.29296875,0.291015625,,0.240234375,0.29296875,0.294921875,0.287109375,0.29296875,0.263671875,0.29296875,0.296875,0.29296875,0.291015625,0.294921875,0.294921875,0.29296875,0.240234375,0.294921875,0.294921875,0.294921875,0.29296875,0.294921875,0.291015625,0.294921875,0.294921875,,0.1015625,0.29296875,0.2890625,0.263671875,0.2578125,0.291015625,0.28515625,0.10546875,0.298828125,0.267578125,0.26171875,,0.283203125,0.26953125,0.259765625,0.25,0.2578125,0.251953125,0.29296875,0.26171875,0.291015625,0.232421875,,0.2578125,0.251953125,0.2578125,0.248046875,,0.2578125,,,0.294921875,0.29296875,0.259765625,0.298828125,0.2578125,0.263671875,0.173828125,0.29296875
BN,sd029,0.2265625,0.2265625,0.220703125,0.2265625,0.2265625,0.2265625,0.2265625,0.228515625,0.228515625,0.228515625,0.25,0.228515625,0.228515625,0.197265625,0.2265625,0.228515625,0.2265625,0.23046875,0.228515625,0.2265625,0.2265625,0.2265625,0.2265625,0.2265625,0.224609375,0.224609375,0.2265625,0.2265625,0.240234375,0.2265625,0.2265625,0.224609375,0.228515625,0.2265625,0.224609375,0.22265625,0.2265625,0.220703125,0.2265625,0.228515625,0.2265625,0.197265625,0.12109375,0.123046875,0.228515625,0.228515625,0.23046875,0.228515625,0.23046875,0.12109375,0.197265625,0.11328125,0.197265625,0.234375,0.201171875,0.119140625,0.232421875,0.228515625,0.21875,0.220703125,0.2421875,0.228515625,0.2265625,0.189453125,0.2265625
BN,sd030,0.23046875,0.23046875,0.23046875,0.23046875,0.23046875,0.23046875,0.22265625,0.2265625,0.2265625,0.228515625,0.193359375,0.2265625,0.228515625,0.2265625,0.228515625,0.224609375,0.197265625,0.228515625,0.228515625,0.228515625,0.23046875,0.228515625,0.23046875,0.228515625,0.201171875,0.228515625,0.28125,0.228515625,0.23046875,0.228515625,0.228515625,0.2265625,0.228515625,0.228515625,0.275390625,0.228515625,0.228515625,0.23046875,0.23046875,0.228515625,0.23046875,0.240234375,0.173828125,0.171875,0.2265625,0.1953125,0.2265625,0.228515625,0.2265625,0.154296875,0.2109375,0.19140625,0.173828125,0.23046875,0.2265625,0.23046875,0.228515625,0.228515625,0.228515625,0.193359375,0.26953125,0.224609375,0.2265625,0.224609375,0.228515625
BN,sd031,0.234375,0.23046875,0.236328125,0.236328125,0.234375,0.224609375,0.228515625,0.232421875,0.2265625,0.23046875,0.232421875,0.23046875,0.2265625,0.23828125,0.228515625,0.232421875,0.228515625,0.228515625,0.2265625,0.232421875,0.234375,0.234375,0.232421875,0.234375,0.236328125,0.234375,0.234375,0.232421875,0.224609375,0.232421875,0.2265625,0.234375,0.23046875,0.23046875,0.22265625,0.232421875,0.228515625,0.228515625,0.236328125,0.232421875,0.23046875,0.16796875,,0.166015625,0.232421875,0.23046875,0.232421875,0.228515625,0.232421875,0.177734375,0.236328125,0.255859375,0.16796875,,0.236328125,0.158203125,,0.228515625,0.220703125,0.232421875,0.115234375,0.232421875,0.2265625,0.19921875,0.23046875
BN,sd032,0.2109375,0.19921875,0.193359375,0.21484375,0.212890625,0.2109375,0.2109375,0.2109375,0.212890625,0.2109375,0.2265625,0.2109375,0.208984375,0.1953125,0.2109375,0.203125,0.2109375,0.2109375,0.2109375,0.212890625,0.2109375,0.212890625,0.212890625,0.2109375,0.21484375,0.2109375,0.212890625,0.212890625,0.2109375,0.212890625,0.2109375,0.2109375,0.2109375,0.212890625,0.208984375,0.203125,0.2109375,0.177734375,0.197265625,0.208984375,0.212890625,0.208984375,0.2109375,0.208984375,0.208984375,0.212890625,0.20703125,0.208984375,0.208984375,0.20703125,0.201171875,0.208984375,0.20703125,0.208984375,0.20703125,0.2109375,0.208984375,0.208984375,0.19140625,0.220703125,0.251953125,0.20703125,0.2109375,0.19140625,0.2109375
BN,sd033,0.2109375,0.2109375,0.212890625,0.212890625,0.2109375,0.212890625,0.212890625,0.212890625,0.212890625,0.212890625,0.212890625,0.212890625,0.212890625,0.21484375,0.21484375,0.2109375,0.216796875,0.212890625,0.212890625,0.2109375,0.212890625,0.212890625,0.2109375,0.2109375,0.2109375,0.208984375,0.2109375,0.212890625,0.2109375,0.212890625,0.2109375,0.2109375,0.2109375,0.212890625,0.203125,0.208984375,0.208984375,0.205078125,0.212890625,0.212890625,0.2109375,0.216796875,0.220703125,0.21875,0.21484375,0.21484375,0.21484375,0.216796875,0.21484375,0.21875,0.208984375,0.2265625,0.216796875,0.216796875,0.21484375,0.22265625,0.216796875,0.21484375,0.20703125,0.21484375,0.2421875,0.26953125,0.236328125,0.17578125,0.212890625
BN,sd034,0.216796875,0.21875,0.216796875,0.20703125,0.21875,0.22265625,0.224609375,0.216796875,0.220703125,0.2109375,0.208984375,0.21875,0.224609375,0.21484375,0.2265625,0.205078125,0.228515625,0.21875,0.224609375,0.21875,0.220703125,0.21875,0.220703125,0.216796875,0.220703125,0.21484375,0.2109375,0.220703125,0.22265625,0.21875,0.220703125,0.21484375,0.21484375,0.224609375,0.259765625,0.21484375,0.203125,0.21875,0.216796875,0.20703125,0.220703125,0.162109375,0.16015625,0.16015625,0.216796875,0.22265625,0.21484375,0.228515625,0.2109375,0.236328125,0.16015625,0.24609375,0.212890625,0.23046875,0.16015625,0.23828125,0.21484375,0.216796875,0.232421875,0.255859375,0.265625,0.16015625,0.259765625,0.162109375,0.21875
BN,sd035,0.216796875,0.21875,0.21875,0.193359375,0.21875,0.201171875,0.201171875,0.1953125,0.201171875,0.19140625,0.224609375,0.1953125,0.197265625,0.19140625,0.19921875,0.189453125,0.1953125,0.197265625,0.201171875,0.21484375,0.212890625,0.212890625,0.212890625,0.208984375,0.20703125,0.2109375,0.2109375,0.2109375,0.208984375,0.205078125,0.20703125,0.203125,0.20703125,0.2109375,0.232421875,0.201171875,0.23046875,0.205078125,0.22265625,0.193359375,0.21484375,0.1796875,0.171875,0.177734375,0.19140625,0.19140625,0.189453125,0.1796875,0.1875,0.16796875,0.185546875,0.166015625,0.185546875,0.17578125,0.1875,0.169921875,0.1796875,0.189453125,0.193359375,0.234375,0.236328125,0.1875,0.2421875,0.1875,0.205078125
BN,sd036,0.21484375,0.21484375,0.212890625,0.21484375,0.21484375,0.220703125,0.220703125,0.21875,0.22265625,0.21875,0.21875,0.220703125,0.22265625,0.22265625,0.224609375,0.220703125,0.220703125,0.22265625,0.21875,0.216796875,0.216796875,0.21484375,0.216796875,0.212890625,0.21484375,0.2109375,0.212890625,0.216796875,0.216796875,0.21484375,0.216796875,0.212890625,0.21484375,0.216796875,0.20703125,0.203125,0.2109375,0.212890625,0.21484375,0.216796875,0.216796875,0.16015625,0.287109375,0.158203125,0.22265625,0.22265625,0.224609375,0.24609375,0.15625,0.287109375,0.15625,0.287109375,0.15625,0.287109375,0.158203125,0.2890625,0.287109375,0.22265625,0.205078125,0.2109375,0.2890625,0.2109375,0.189453125,0.12890625,0.216796875
BN,sd037,0.205078125,0.208984375,0.20703125,0.197265625,0.20703125,0.21484375,0.216796875,0.216796875,0.21875,0.2109375,0.21875,0.21875,0.21875,0.216796875,0.220703125,0.216796875,0.22265625,0.21875,0.216796875,0.20703125,0.212890625,0.20703125,0.208984375,0.203125,0.20703125,0.20703125,0.20703125,0.21484375,0.212890625,0.2109375,0.208984375,0.205078125,0.20703125,0.212890625,0.2109375,0.205078125,0.20703125,0.20703125,0.20703125,0.205078125,0.208984375,0.17578125,0.173828125,0.173828125,0.220703125,0.220703125,0.21875,0.22265625,0.220703125,0.224609375,0.224609375,0.29296875,0.22265625,0.22265625,0.224609375,0.29296875,0.17578125,0.220703125,0.19921875,0.197265625,0.275390625,0.19140625,0.236328125,0.201171875,0.212890625
BN,sd038,0.21484375,0.216796875,0.212890625,0.21484375,0.21484375,0.216796875,0.21484375,0.216796875,0.212890625,0.216796875,0.20703125,0.21875,0.21875,0.21875,0.2109375,0.216796875,0.203125,0.216796875,0.216796875,0.212890625,0.21484375,0.21484375,0.216796875,0.212890625,0.216796875,0.212890625,0.212890625,0.21484375,0.21484375,0.21484375,0.21484375,0.216796875,0.212890625,0.21484375,0.212890625,0.212890625,0.2109375,0.212890625,0.212890625,0.21484375,0.21484375,0.23828125,0.234375,0.236328125,0.220703125,0.208984375,0.224609375,0.208984375,0.208984375,0.201171875,0.115234375,0.275390625,0.23828125,0.232421875,0.240234375,0.193359375,0.232421875,0.216796875,0.21484375,0.201171875,0.27734375,0.162109375,0.279296875,0.154296875,0.21484375
BN,sd039,0.22265625,0.22265625,0.228515625,0.228515625,0.220703125,0.2265625,0.2265625,0.224609375,0.228515625,0.22265625,0.228515625,0.2265625,0.2265625,0.224609375,0.228515625,0.1953125,0.228515625,0.2265625,0.2265625,0.224609375,0.224609375,0.22265625,0.22265625,0.22265625,0.22265625,0.224609375,0.22265625,0.2265625,0.2265625,0.224609375,0.2265625,0.22265625,0.22265625,0.2265625,0.2265625,0.20703125,0.22265625,0.205078125,0.2265625,0.228515625,0.22265625,0.2265625,0.228515625,0.228515625,0.224609375,0.228515625,0.224609375,0.228515625,0.185546875,0.228515625,0.185546875,0.228515625,0.224609375,0.228515625,0.181640625,0.228515625,0.2265625,0.2265625,0.201171875,0.216796875,0.291015625,0.19140625,0.29296875,0.193359375,0.224609375
BN,sd040,0.197265625,0.19921875,0.197265625,0.197265625,0.197265625,0.201171875,0.21875,0.19921875,0.203125,0.197265625,0.201171875,0.203125,0.220703125,0.19921875,0.224609375,0.197265625,0.203125,0.22265625,0.21875,0.201171875,0.201171875,0.19921875,0.201171875,0.197265625,0.201171875,0.19921875,0.197265625,0.201171875,0.203125,0.19921875,0.201171875,0.19921875,0.201171875,0.203125,0.203125,0.19921875,0.19921875,0.203125,0.197265625,0.1953125,0.201171875,0.123046875,0.1640625,0.1640625,0.220703125,0.224609375,0.19921875,0.228515625,0.115234375,0.232421875,0.123046875,0.267578125,0.107421875,0.232421875,0.12109375,0.236328125,0.228515625,0.224609375,0.1953125,0.19921875,0.16015625,0.1953125,0.267578125,0.2890625,0.19921875
BN,sd041,0.224609375,0.224609375,0.22265625,0.22265625,0.224609375,0.224609375,0.224609375,0.224609375,0.224609375,0.220703125,0.224609375,0.22265625,0.224609375,0.22265625,0.224609375,0.216796875,0.25390625,0.224609375,0.224609375,0.2265625,0.224609375,0.224609375,0.2265625,0.2265625,0.224609375,0.2265625,0.22265625,0.224609375,0.224609375,0.224609375,0.224609375,0.224609375,0.224609375,0.224609375,0.22265625,0.224609375,0.22265625,0.224609375,0.224609375,0.224609375,0.224609375,0.16796875,0.28125,0.28515625,0.251953125,0.25,0.251953125,0.251953125,0.181640625,0.255859375,0.1796875,0.279296875,0.166015625,0.283203125,0.16796875,0.28515625,0.162109375,0.251953125,0.216796875,0.22265625,0.142578125,0.189453125,0.18359375,0.21484375,0.224609375
BN,sd042,0.216796875,0.216796875,0.216796875,0.216796875,0.216796875,0.212890625,0.2109375,0.21484375,0.212890625,0.21875,0.216796875,0.212890625,0.208984375,0.216796875,0.2109375,0.21875,0.21484375,0.208984375,0.2109375,0.21484375,0.21484375,0.216796875,0.216796875,0.216796875,0.216796875,0.216796875,0.21875,0.21484375,0.212890625,0.216796875,0.21484375,0.21875,0.212890625,0.212890625,0.216796875,0.22265625,0.21875,0.216796875,0.216796875,0.216796875,0.216796875,0.20703125,0.212890625,0.2109375,0.2109375,0.2109375,0.2109375,0.2109375,0.2109375,0.212890625,0.177734375,0.216796875,0.208984375,0.208984375,0.1796875,0.212890625,0.208984375,0.208984375,0.224609375,0.216796875,0.208984375,0.1640625,0.21875,,0.21484375
BN,sd044,0.23046875,0.232421875,0.234375,0.234375,0.224609375,0.228515625,0.23046875,0.228515625,0.232421875,0.23046875,0.234375,0.232421875,0.232421875,0.228515625,0.236328125,0.236328125,0.23828125,0.2265625,0.23046875,0.2265625,0.228515625,0.228515625,0.232421875,0.23046875,0.234375,0.234375,0.234375,0.2265625,0.228515625,0.2265625,0.232421875,0.23046875,0.232421875,0.228515625,0.212890625,0.212890625,0.236328125,0.20703125,0.234375,0.23046875,0.228515625,0.23828125,0.240234375,0.236328125,0.232421875,0.234375,0.234375,0.236328125,0.171875,0.23828125,0.173828125,0.27734375,0.23828125,0.236328125,0.283203125,0.2734375,0.236328125,0.234375,0.236328125,0.24609375,0.154296875,0.177734375,0.248046875,0.205078125,0.23046875
BN,sd045,0.21484375,0.216796875,0.224609375,0.2265625,0.216796875,0.220703125,0.220703125,0.220703125,0.220703125,0.21875,0.21484375,0.220703125,0.220703125,0.220703125,0.220703125,0.220703125,0.216796875,0.220703125,0.220703125,0.21875,0.21875,0.21484375,0.216796875,0.21875,0.216796875,0.220703125,0.220703125,0.220703125,0.220703125,0.21875,0.21875,0.216796875,0.212890625,0.224609375,0.208984375,0.21484375,0.208984375,0.216796875,0.2265625,0.2265625,0.220703125,0.228515625,0.23046875,0.232421875,0.22265625,0.22265625,0.224609375,0.2265625,0.22265625,0.2421875,0.189453125,0.267578125,0.224609375,0.23046875,0.224609375,0.2421875,0.228515625,0.22265625,0.193359375,0.23046875,0.279296875,0.189453125,0.248046875,0.22265625,0.220703125
BN,sd046,0.234375,0.234375,0.228515625,0.23046875,0.232421875,0.23046875,0.23046875,0.232421875,0.23046875,0.236328125,0.228515625,0.23046875,0.23046875,0.232421875,0.228515625,0.234375,0.228515625,0.23046875,0.23046875,0.232421875,0.232421875,0.234375,0.232421875,0.236328125,0.236328125,0.228515625,0.224609375,0.232421875,0.23046875,0.232421875,0.23046875,0.23046875,0.23046875,0.232421875,,0.208984375,0.22265625,,0.23046875,0.2265625,0.23046875,0.166015625,0.232421875,0.232421875,0.232421875,0.23046875,0.232421875,0.228515625,,0.23046875,0.173828125,0.166015625,0.234375,0.232421875,0.169921875,0.24609375,0.232421875,0.232421875,,0.1875,,,0.158203125,,0.23046875
BN,sd047,,0.146484375,0.21875,,,0.228515625,0.2265625,0.2265625,0.22265625,0.22265625,0.220703125,0.228515625,0.2265625,0.224609375,0.220703125,0.22265625,0.22265625,0.2265625,0.23046875,,,,,,0.14453125,0.15234375,0.21875,0.23046875,0.228515625,0.21875,0.220703125,0.22265625,0.21875,0.232421875,0.271484375,0.216796875,0.251953125,0.189453125,,,,0.22265625,0.220703125,0.220703125,0.228515625,0.224609375,0.224609375,0.22265625,0.22265625,0.22265625,0.22265625,0.22265625,0.21875,0.220703125,0.22265625,0.216796875,0.22265625,0.2265625,0.21875,0.21484375,0.248046875,0.220703125,0.23046875,0.203125,0.22265625
BN,sd048,,0.265625,0.25,,0.263671875,0.240234375,,0.2421875,0.125,0.2421875,0.26953125,0.23828125,,0.23828125,0.123046875,0.232421875,0.26953125,0.267578125,0.265625,0.240234375,0.240234375,0.259765625,0.240234375,0.236328125,,0.271484375,0.244140625,0.240234375,,0.2421875,,0.2421875,0.267578125,0.23828125,0.271484375,0.240234375,0.271484375,0.17578125,0.25,0.248046875,0.240234375,0.171875,0.173828125,0.171875,0.1640625,0.166015625,0.1640625,0.2734375,0.166015625,0.2734375,0.169921875,0.173828125,0.166015625,0.169921875,0.171875,0.171875,0.16796875,0.166015625,0.232421875,0.271484375,0.173828125,0.169921875,0.17578125,0.216796875,0.265625
BN,sd049,0.21484375,0.22265625,0.20703125,0.208984375,0.21875,0.21484375,0.21484375,0.21484375,0.21484375,0.21484375,0.212890625,0.2109375,0.212890625,0.212890625,0.208984375,0.2109375,0.20703125,0.2109375,0.216796875,0.216796875,0.220703125,0.208984375,0.224609375,0.21484375,0.23046875,0.21484375,0.205078125,0.21484375,0.216796875,0.21484375,0.21875,0.21484375,0.228515625,0.220703125,0.259765625,0.21875,0.23046875,0.220703125,0.193359375,0.208984375,0.216796875,0.212890625,0.19140625,0.162109375,0.20703125,0.20703125,0.208984375,0.20703125,0.2109375,0.197265625,0.19140625,0.1875,0.212890625,0.201171875,0.212890625,0.1875,0.20703125,0.20703125,0.189453125,0.212890625,0.19140625,0.185546875,0.185546875,0.220703125,0.21484375
BN,sd050,0.21875,0.220703125,0.220703125,,0.22265625,0.22265625,0.21875,0.22265625,0.21875,0.220703125,0.220703125,0.220703125,0.216796875,0.22265625,0.21875,0.216796875,0.220703125,0.216796875,0.220703125,0.220703125,0.22265625,0.220703125,0.220703125,0.220703125,0.220703125,0.22265625,,0.220703125,0.220703125,0.21875,0.220703125,0.220703125,0.21875,0.224609375,0.298828125,,,,0.220703125,0.216796875,0.220703125,0.18359375,0.169921875,0.244140625,0.220703125,0.220703125,0.15625,0.21875,0.15625,0.22265625,0.15234375,0.212890625,0.15234375,0.150390625,0.158203125,0.16796875,0.15625,0.220703125,,0.275390625,0.171875,0.265625,0.271484375,0.22265625,0.220703125
BN,sd051,0.240234375,0.240234375,0.140625,0.255859375,0.236328125,0.23828125,0.244140625,0.236328125,0.2421875,0.23828125,0.2734375,0.23828125,0.240234375,0.23828125,0.236328125,0.23828125,0.26953125,0.23828125,0.23828125,0.240234375,0.240234375,0.240234375,0.240234375,0.2421875,0.240234375,0.240234375,0.28515625,0.240234375,0.240234375,0.240234375,0.2421875,0.2421875,0.265625,0.240234375,0.283203125,0.23046875,0.28125,0.109375,0.142578125,,0.240234375,0.263671875,0.236328125,0.263671875,0.236328125,0.240234375,0.240234375,0.236328125,0.240234375,0.23046875,0.26171875,0.109375,0.23828125,0.2578125,0.23828125,0.23046875,0.23828125,0.240234375,0.263671875,0.28125,0.283203125,0.234375,0.19921875,0.25390625,0.240234375
