channel,A_time_ms,t_stop_ms,reason_stop,area_restricted,area_abs,used_restricted_mask
Fz,199.21875,241.95445087267225,baseline_crossing,0.00013497412283416523,0.00017087381057594766,True
Cz,199.21875,243.53537748286053,baseline_crossing,0.00013832470305723553,0.00014295381420814258,True
Pz,199.21875,221.927975534667,intersection,1.3413709014265352e-05,1.3413709014265352e-05,True
