erp,kind,subject,iteration,PL,PA,TWMA,FAL_0.25,FAL_0.5,FAL_0.75
n1,sn,sd011,30,0.21875,-3.5751653377659203,-1.3169039108123708,0.2109375,0.220703125,0.23046875
n1,sn,sd011,31,0.21875,-3.6492973274867953,-1.478786608514964,0.208984375,0.21875,0.228515625
n1,sn,sd011,32,0.21875,-3.338863513255978,-1.2604408854755638,0.208984375,0.21875,0.228515625
n1,sn,sd011,33,0.220703125,-3.9900846650753485,-1.4523142658380621,0.2109375,0.21875,0.23046875
n1,sn,sd011,34,0.21875,-3.881108792083158,-1.0690116193349668,0.2109375,0.21875,0.228515625
n1,sn,sd011,35,0.216796875,-3.5517413660681143,-1.4546396148594551,0.208984375,0.21875,0.23046875
n1,sn,sd011,36,0.21875,-3.4260076149308256,-1.3491778154924594,0.208984375,0.21875,0.23046875
n1,sn,sd011,37,0.21875,-4.294210651073524,-1.2216154195443318,0.208984375,0.21875,0.228515625
n1,sn,sd011,38,0.216796875,-4.514010084723485,-1.3716746987065938,0.208984375,0.21875,0.23046875
n1,sn,sd011,39,0.21875,-3.0908529277050647,-1.310187332317298,0.208984375,0.21875,0.23046875
n1,sn,sd011,40,0.21875,-3.9399677584901953,-1.5372464610881869,0.208984375,0.21875,0.228515625
n1,sn,sd011,41,0.21875,-3.776034429934378,-1.4064575052274206,0.208984375,0.21875,0.228515625
n1,sn,sd011,42,0.21875,-4.212493944760239,-1.5304948919451031,0.2109375,0.21875,0.228515625
n1,sn,sd011,43,0.21875,-3.5209691330360995,-1.2006478508307112,0.208984375,0.21875,0.228515625
n1,sn,sd011,44,0.21875,-3.604869729606892,-1.2922980504433574,0.208984375,0.21875,0.23046875
n1,sn,sd011,45,0.216796875,-3.8473037161607353,-1.272365401478873,0.208984375,0.21875,0.228515625
n1,sn,sd011,46,0.216796875,-4.018968930509156,-1.3439517088033812,0.20703125,0.216796875,0.2265625
n1,sn,sd011,47,0.21875,-3.8183885172452086,-1.5808209557236035,0.2109375,0.21875,0.23046875
n1,sn,sd011,48,0.21875,-3.1707368685709794,-1.0380232102820597,0.208984375,0.21875,0.228515625
n1,sn,sd011,49,0.220703125,-4.0961880458506625,-1.2692695892583266,0.2109375,0.220703125,0.228515625
n1,sn,sd012,0,,-2.401047162737098,-0.2133971788040607,0.259765625,0.263671875,0.26953125
n1,sn,sd012,1,0.263671875,-1.9810630979825288,-0.43648006289692187,0.25390625,0.259765625,0.267578125
n1,sn,sd012,2,,-3.4262333155971234,-0.46170166751883396,0.25,0.2578125,0.267578125
n1,sn,sd012,3,,-2.786381098912616,-0.27655875074127606,0.25390625,0.259765625,0.26953125
n1,sn,sd012,4,0.26953125,-3.3154395289185388,-0.2741032706920653,0.263671875,0.267578125,0.2734375
n1,sn,sd012,5,0.26171875,-2.821630634882763,-0.5322757774156149,0.255859375,0.26171875,0.26953125
n1,sn,sd012,6,0.2578125,-2.196875369010164,-0.6384390104441083,0.248046875,0.25390625,0.26171875
n1,sn,sd012,7,0.279296875,-3.0180711866338115,-0.5104466996827843,0.248046875,0.2578125,0.267578125
n1,sn,sd012,8,0.267578125,-2.8100487116821515,-0.48213462217809155,0.2578125,0.263671875,0.26953125
n1,sn,sd012,9,,-3.377273937343568,-0.22792616826812617,0.259765625,0.263671875,0.26953125
n1,sn,sd012,10,0.26171875,-2.60848400653881,-0.6100302361585376,0.25,0.2578125,0.263671875
n1,sn,sd012,11,,-2.8880886543351223,-0.08241160652226498,0.265625,0.271484375,0.27734375
n1,sn,sd012,12,0.263671875,-2.9786561187931975,-0.4987846245085891,0.2578125,0.26171875,0.26953125
n1,sn,sd012,13,0.26171875,-2.3780833386699975,-0.6468750019253133,0.25390625,0.259765625,0.267578125
n1,sn,sd012,14,,-2.862733502950174,-0.07799764088079729,0.267578125,0.271484375,0.275390625
n1,sn,sd012,15,0.27734375,-3.7310901466200312,-0.35495493403933986,0.26171875,0.267578125,0.2734375
n1,sn,sd012,16,0.271484375,-2.1574468708292525,-0.45217010962013204,0.2578125,0.263671875,0.26953125
n1,sn,sd012,17,0.2734375,-2.8267970839325756,-0.30323001252020265,0.263671875,0.267578125,0.2734375
n1,sn,sd012,18,0.26171875,-2.7396436614016526,-0.5045364395062742,0.25390625,0.259765625,0.265625
n1,sn,sd012,19,0.265625,-2.585668408250018,-0.5178284879530464,0.251953125,0.259765625,0.267578125
n1,sn,sd012,20,0.2734375,-2.7307785149641557,-0.3290657773676154,0.259765625,0.265625,0.271484375
n1,sn,sd012,21,0.265625,-2.4523792032933533,-0.48548480786076975,0.255859375,0.26171875,0.267578125
n1,sn,sd012,22,0.27734375,-2.6954590648706755,-0.22978186565284597,0.263671875,0.26953125,0.2734375
n1,sn,sd012,23,0.265625,-3.6159313663357358,-0.49737683176783637,0.255859375,0.26171875,0.267578125
n1,sn,sd012,24,0.267578125,-2.9573767791131242,-0.37738980452650794,0.259765625,0.263671875,0.26953125
n1,sn,sd012,25,0.27734375,-3.224085133984755,-0.5161000104760932,0.25,0.2578125,0.267578125
n1,sn,sd012,26,0.267578125,-3.4645049975032176,-0.42492857146084084,0.259765625,0.265625,0.26953125
n1,sn,sd012,27,0.267578125,-3.6833146882401353,-0.7846077127028751,0.25390625,0.259765625,0.267578125
n1,sn,sd012,28,,-3.2627334226718556,-0.2612516012534072,0.2578125,0.263671875,0.271484375
n1,sn,sd012,29,0.259765625,-2.6673434995695025,-0.43599093000075584,0.25390625,0.259765625,0.265625
n1,sn,sd012,30,0.267578125,-3.0756631368613925,-0.5309777108539626,0.25390625,0.259765625,0.267578125
n1,sn,sd012,31,0.263671875,-2.6472734574217633,-0.5806101804126619,0.25390625,0.259765625,0.265625
n1,sn,sd012,32,0.263671875,-3.04014943536511,-0.42576173345796914,0.255859375,0.26171875,0.267578125
n1,sn,sd012,33,,-3.4656492091552553,-0.42780431172289174,0.255859375,0.259765625,0.265625
n1,sn,sd012,34,0.271484375,-2.7352261446289288,-0.27364771063917526,0.263671875,0.267578125,0.2734375
n1,sn,sd012,35,0.26953125,-2.709186028459156,-0.7552153065487037,0.248046875,0.2578125,0.267578125
n1,sn,sd012,36,0.2734375,-2.691304335192486,-0.4221134672416331,0.255859375,0.263671875,0.271484375
n1,sn,sd012,37,,-2.4462082786076835,-0.2088631557236203,0.26171875,0.265625,0.26953125
n1,sn,sd012,38,0.265625,-2.7325553615750096,-0.4638445913769066,0.255859375,0.26171875,0.267578125
n1,sn,sd012,39,,-2.1968765887271955,-0.3605121495969661,0.25,0.255859375,0.263671875
n1,sn,sd012,40,0.267578125,-3.1838066937344762,-0.42672578241297743,0.255859375,0.26171875,0.26953125
n1,sn,sd012,41,0.271484375,-2.396895552059048,-0.31618878428855535,0.259765625,0.265625,0.271484375
n1,sn,sd012,42,0.263671875,-3.166306346029366,-0.35802706969075543,0.255859375,0.259765625,0.265625
n1,sn,sd012,43,0.263671875,-2.911210466536585,-0.14354402849248082,0.267578125,0.271484375,0.275390625
n1,sn,sd012,44,0.265625,-2.4785304951583154,-0.3374424528808042,0.25390625,0.259765625,0.267578125
n1,sn,sd012,45,,-2.6619600514424904,-0.2829728180978815,0.2578125,0.26171875,0.267578125
n1,sn,sd012,46,0.2734375,-3.1271692889673113,-0.42710501356145975,0.259765625,0.265625,0.271484375
n1,sn,sd012,47,0.263671875,-2.362632537858974,-0.3003328657678919,0.259765625,0.265625,0.271484375
n1,sn,sd012,48,0.259765625,-3.81489417494652,-0.6213229587126639,0.25,0.255859375,0.26171875
n1,sn,sd012,49,0.2734375,-2.49483226440887,-0.3246533245397625,0.263671875,0.267578125,0.2734375
n1,sn,sd013,0,0.22265625,-0.9065228363900746,-0.754450656916645,0.212890625,0.220703125,0.232421875
n1,sn,sd013,1,0.21875,-0.9658190864355795,-0.9500626348998301,0.212890625,0.22265625,0.236328125
n1,sn,sd013,2,0.21875,-0.2909928739875269,-0.5419030194898449,0.212890625,0.220703125,0.234375
n1,sn,sd013,3,0.216796875,-0.8020090592654803,-0.9705187204571586,0.208984375,0.220703125,0.234375
n1,sn,sd013,4,0.220703125,0.18297513609539484,-0.94403861604662,0.212890625,0.220703125,0.232421875
n1,sn,sd013,5,0.220703125,-0.40400292070727273,-0.934169313363486,0.21484375,0.22265625,0.236328125
n1,sn,sd013,6,0.224609375,-0.17285446395683335,-0.5191365489265243,0.21484375,0.2265625,0.23828125
n1,sn,sd013,7,0.216796875,-0.005439985875360179,-0.9207551823628752,0.212890625,0.224609375,0.23828125
n1,sn,sd013,8,0.21875,-0.5027135519192951,-0.6383352587487351,0.208984375,0.21875,0.232421875
n1,sn,sd013,9,0.22265625,-0.12726095842700194,-0.6931577808190794,0.21484375,0.22265625,0.232421875
n1,sn,sd013,10,0.21875,-0.49511318311118735,-0.9018661565731468,0.212890625,0.22265625,0.236328125
n1,sn,sd013,11,0.248046875,-0.22716047484258006,-0.47332837415775547,0.21484375,0.228515625,0.2421875
n1,sn,sd013,12,0.220703125,-0.3130475647699369,-0.7988497623336019,0.212890625,0.22265625,0.236328125
n1,sn,sd013,13,0.220703125,-0.37347220721149316,-0.6796358923599823,0.21484375,0.224609375,0.23828125
n1,sn,sd013,14,0.220703125,-0.7606785632119434,-0.7259094004203512,0.21484375,0.22265625,0.234375
n1,sn,sd013,15,0.216796875,-0.1894329051102619,-0.8875957634021759,0.2109375,0.220703125,0.234375
n1,sn,sd013,16,0.24609375,-0.5905665295342528,-0.7415951782743382,0.216796875,0.228515625,0.2421875
n1,sn,sd013,17,0.2265625,-0.16860524168675473,-0.9305128687358819,0.212890625,0.224609375,0.236328125
n1,sn,sd013,18,0.22265625,0.5074105185383601,-0.6720470204696825,0.21484375,0.2265625,0.23828125
n1,sn,sd013,19,0.24609375,-0.07075983294701117,-0.8155958337373612,0.212890625,0.22265625,0.236328125
n1,sn,sd013,20,0.22265625,-0.013409949972503447,-0.7052870813840509,0.21484375,0.224609375,0.236328125
n1,sn,sd013,21,0.2421875,-0.24710112894440733,-0.7892499518073803,0.216796875,0.228515625,0.240234375
n1,sn,sd013,22,0.21875,0.5063908951530784,-0.675252372950294,0.212890625,0.22265625,0.23828125
n1,sn,sd013,23,0.220703125,-0.7095496393202121,-0.9087113384790252,0.212890625,0.220703125,0.232421875
n1,sn,sd013,24,0.220703125,-0.3111199843303632,-0.8467680220553522,0.212890625,0.22265625,0.234375
n1,sn,sd013,25,0.2421875,-0.16415906675252429,-0.7935905454077801,0.21484375,0.228515625,0.240234375
n1,sn,sd013,26,0.248046875,0.29688745173636577,-0.6515011404350102,0.21484375,0.2265625,0.2421875
n1,sn,sd013,27,0.220703125,-0.09218134198421558,-0.7541532815494585,0.208984375,0.21875,0.23046875
n1,sn,sd013,28,0.240234375,-0.5605528307102247,-0.998763401489102,0.212890625,0.224609375,0.23828125
n1,sn,sd013,29,0.22265625,-0.2804693833556088,-0.8804321726653181,0.21484375,0.224609375,0.23828125
n1,sn,sd013,30,0.220703125,-0.454405966388457,-0.7721605794262558,0.216796875,0.224609375,0.23828125
n1,sn,sd013,31,0.220703125,-0.11387610835790885,-0.8047203611950671,0.212890625,0.224609375,0.23828125
n1,sn,sd013,32,0.22265625,-1.0258212782895926,-1.0307211059790558,0.212890625,0.22265625,0.234375
n1,sn,sd013,33,0.216796875,0.34890072391999183,-1.0144382027712782,0.2109375,0.220703125,0.234375
n1,sn,sd013,34,0.244140625,-0.010735309726496257,-0.9704370073499885,0.2109375,0.22265625,0.236328125
n1,sn,sd013,35,0.220703125,-0.45067382353307417,-0.8860942228256757,0.21484375,0.224609375,0.236328125
n1,sn,sd013,36,0.248046875,-0.13557852219561067,-0.8181087170721972,0.21484375,0.224609375,0.240234375
n1,sn,sd013,37,0.22265625,-0.5192711505665963,-0.8660931841413502,0.21484375,0.22265625,0.234375
n1,sn,sd013,38,0.220703125,-0.6402596400213064,-1.0715189471070092,0.212890625,0.224609375,0.234375
n1,sn,sd013,39,0.220703125,-0.8423735157338955,-0.9178694804877693,0.212890625,0.22265625,0.234375
n1,sn,sd013,40,0.24609375,0.13988477055913187,-0.3665115554110354,0.2265625,0.234375,0.244140625
n1,sn,sd013,41,0.216796875,-0.1472504425269902,-0.7783138581111508,0.212890625,0.220703125,0.236328125
n1,sn,sd013,42,0.23828125,-0.39296345231496294,-0.9667461725628242,0.212890625,0.2265625,0.23828125
n1,sn,sd013,43,0.21875,0.8611459283132794,-0.4378413274358641,0.20703125,0.216796875,0.2265625
n1,sn,sd013,44,0.21875,-0.6096232968278452,-0.8503007533262104,0.2109375,0.220703125,0.23046875
n1,sn,sd013,45,0.220703125,-0.32810352047500774,-0.8901250131464702,0.212890625,0.22265625,0.236328125
n1,sn,sd013,46,0.220703125,-0.862119549688844,-0.7561419956529312,0.21484375,0.224609375,0.236328125
n1,sn,sd013,47,0.22265625,-0.1340802028548919,-0.767163404388618,0.212890625,0.224609375,0.23828125
n1,sn,sd013,48,0.216796875,-0.27298517924222243,-1.028313463206315,0.2109375,0.220703125,0.234375
n1,sn,sd013,49,0.2421875,0.17410548266678008,-0.9666360506201719,0.2109375,0.22265625,0.236328125
n1,sn,sd015,0,0.205078125,-0.17656089716877615,-0.26940977027604407,0.19921875,0.20703125,0.21875
n1,sn,sd015,1,0.197265625,-0.38608910295938736,-0.2715757050817335,0.203125,0.22265625,0.232421875
n1,sn,sd015,2,0.208984375,-0.3334264809985383,-0.41770016840858437,0.203125,0.212890625,0.224609375
n1,sn,sd015,3,0.201171875,0.4007683221572193,-0.2350942299630866,0.197265625,0.205078125,0.220703125
n1,sn,sd015,4,0.2109375,0.21020797341156236,-0.3933272118502486,0.20703125,0.21484375,0.228515625
n1,sn,sd015,5,0.205078125,0.36724032706342785,-0.24371675410718416,0.201171875,0.2109375,0.220703125
n1,sn,sd015,6,0.208984375,0.11169930995784966,-0.11364951105628864,0.19921875,0.203125,0.20703125
n1,sn,sd015,7,0.2109375,0.24412686457479738,-0.21043023869268082,0.201171875,0.208984375,0.21875
n1,sn,sd015,8,0.21875,0.40549162930164834,-0.3338022226475048,0.20703125,0.21875,0.23046875
n1,sn,sd015,9,0.208984375,-0.0708198592367142,-0.45788046091690826,0.203125,0.212890625,0.224609375
n1,sn,sd015,10,0.21875,0.11138879725292766,-0.3099266489994317,0.201171875,0.2109375,0.220703125
n1,sn,sd015,11,0.220703125,-0.20166657828700288,-0.5506551991908786,0.20703125,0.21875,0.23046875
n1,sn,sd015,12,0.201171875,0.44489076194120736,-0.2238749384353499,0.201171875,0.212890625,0.234375
n1,sn,sd015,13,0.19921875,-0.09304134595562394,-0.025946439089639464,0.189453125,0.193359375,0.24609375
n1,sn,sd015,14,0.224609375,0.0053410862182424685,-0.3677718462740695,0.208984375,0.220703125,0.232421875
n1,sn,sd015,15,0.197265625,0.5464528579671883,-0.21972101586001744,0.203125,0.216796875,0.228515625
n1,sn,sd015,16,0.248046875,-0.0036598670171210557,-0.06933778268898225,0.220703125,0.23828125,0.24609375
n1,sn,sd015,17,0.23828125,-0.14937792679192322,-0.20813571995815874,0.2265625,0.234375,0.240234375
n1,sn,sd015,18,0.203125,-0.24683095737864655,-0.24346098329591115,0.19921875,0.208984375,0.228515625
n1,sn,sd015,19,0.20703125,-0.4467952851160463,-0.3622177422568394,0.205078125,0.216796875,0.236328125
n1,sn,sd015,20,0.205078125,-0.013355479337483586,-0.3215028263501684,0.201171875,0.2109375,0.234375
n1,sn,sd015,21,0.205078125,-0.37531223019308024,-0.15215403468332309,0.19921875,0.205078125,0.212890625
n1,sn,sd015,22,0.2109375,0.08588841919809932,-0.1932094197737756,0.203125,0.208984375,0.240234375
n1,sn,sd015,23,0.236328125,0.13983904683025652,-0.25976911597667557,0.201171875,0.23046875,0.23828125
n1,sn,sd015,24,0.20703125,-0.18739831848868915,-0.14331405436288772,0.1953125,0.201171875,0.205078125
n1,sn,sd015,25,0.220703125,0.20313513814415238,-0.09779650234023803,0.2109375,0.216796875,0.22265625
n1,sn,sd015,26,0.208984375,0.21784820465060858,-0.48904665111427487,0.203125,0.212890625,0.2265625
n1,sn,sd015,27,0.20703125,0.47989496235157064,0.011875062415349516,0.255859375,0.255859375,0.255859375
n1,sn,sd015,28,0.20703125,-0.5969029248714423,-0.18932810320157742,0.19921875,0.205078125,0.21484375
n1,sn,sd015,29,0.208984375,0.07763886768384219,-0.33526981240360454,0.201171875,0.208984375,0.21875
n1,sn,sd015,30,0.208984375,0.49162293776179866,-0.2845496016526598,0.203125,0.2109375,0.22265625
n1,sn,sd015,31,0.205078125,-0.0926433063998019,-0.09342694735872192,0.1953125,0.19921875,0.203125
n1,sn,sd015,32,0.21484375,0.5605950611613287,-0.21577310441595277,0.201171875,0.208984375,0.21875
n1,sn,sd015,33,0.2265625,-0.02534276499146997,-0.16711470121140412,0.21484375,0.224609375,0.232421875
n1,sn,sd015,34,0.203125,0.11218787116786093,-0.409572762741313,0.201171875,0.212890625,0.228515625
n1,sn,sd015,35,0.205078125,0.0639624175985741,-0.4151507647988038,0.203125,0.212890625,0.2265625
n1,sn,sd015,36,0.203125,0.09030648410405913,-0.14678309648525742,0.197265625,0.203125,0.208984375
n1,sn,sd015,37,0.201171875,-0.06299068618283914,-0.36067740327204395,0.201171875,0.216796875,0.23046875
n1,sn,sd015,38,0.205078125,0.30460604886358267,-0.2864885618054301,0.203125,0.21484375,0.236328125
n1,sn,sd015,39,0.20703125,-0.16152612982925074,-0.2711120460156126,0.205078125,0.216796875,0.236328125
n1,sn,sd015,40,0.248046875,0.41918975061653574,-0.1127393768495066,0.197265625,0.205078125,0.240234375
n1,sn,sd015,41,0.20703125,-0.0825492549197475,-0.2680381283835473,0.201171875,0.2109375,0.22265625
n1,sn,sd015,42,0.19921875,0.5209835878176792,-0.27870002419719986,0.205078125,0.220703125,0.232421875
n1,sn,sd015,43,0.205078125,0.2020710639000929,-0.1837590485398493,0.19921875,0.20703125,0.21484375
n1,sn,sd015,44,0.208984375,0.8368127813198917,-0.1818498178602242,0.201171875,0.20703125,0.212890625
n1,sn,sd015,45,0.248046875,0.11402680078852666,-0.16771756362797657,0.203125,0.21484375,0.23046875
n1,sn,sd015,46,,-0.03187920334265038,-0.08483559328074909,0.1953125,0.19921875,0.203125
n1,sn,sd015,47,0.201171875,-0.08124286051062564,-0.4578232344426161,0.203125,0.21875,0.228515625
n1,sn,sd015,48,0.19921875,0.09504236896113068,-0.13277803546337374,0.1953125,0.203125,0.212890625
n1,sn,sd015,49,0.203125,-0.42696406801864417,-0.38758051185854164,0.203125,0.21484375,0.228515625
n1,sn,sd016,0,0.2734375,-0.06076701831199213,-0.30353390542446945,0.23046875,0.2421875,0.265625
n1,sn,sd016,1,0.265625,-0.39598362664104775,-0.45464603323176317,0.236328125,0.25,0.263671875
n1,sn,sd016,2,0.232421875,-0.3874872722741372,-0.5296295758328786,0.23046875,0.2421875,0.259765625
n1,sn,sd016,3,0.234375,-0.4193870459460245,-0.472848098196837,0.234375,0.248046875,0.26171875
n1,sn,sd016,4,0.275390625,-0.6975034382053221,-0.31418450940662074,0.234375,0.248046875,0.263671875
n1,sn,sd016,5,0.26171875,-0.6935830823199436,-0.3021847272297295,0.234375,0.25390625,0.263671875
n1,sn,sd016,6,0.27734375,-0.6125881824209453,-0.22659618166117715,0.234375,0.251953125,0.267578125
n1,sn,sd016,7,0.2578125,-0.2879852026544317,-0.43744419470579127,0.232421875,0.248046875,0.259765625
n1,sn,sd016,8,0.271484375,-0.4717481133638844,-0.17596303090941612,0.228515625,0.26171875,0.271484375
n1,sn,sd016,9,0.279296875,-1.0762570812476795,-0.04694252452268474,0.220703125,0.271484375,0.27734375
n1,sn,sd016,10,0.251953125,-0.649937482784112,-0.16356558343062433,0.23046875,0.24609375,0.255859375
n1,sn,sd016,11,0.255859375,-1.0116542941986626,-0.34040142923120864,0.23828125,0.251953125,0.263671875
n1,sn,sd016,12,0.275390625,-0.41934536177084064,-0.35892638992394454,0.232421875,0.24609375,0.263671875
n1,sn,sd016,13,0.275390625,-0.30992062254426234,-0.22150211976256723,0.236328125,0.259765625,0.271484375
n1,sn,sd016,14,0.27734375,-0.08499170397362901,-0.25802249924839527,0.23046875,0.23828125,0.25390625
n1,sn,sd016,15,0.259765625,-0.4341301564918217,-0.5241563647330676,0.236328125,0.25,0.26171875
n1,sn,sd016,16,0.26171875,-0.7376981822611954,-0.47527165627743834,0.236328125,0.251953125,0.263671875
n1,sn,sd016,17,0.2265625,-0.3981785412120174,-0.26324105294235073,0.234375,0.25390625,0.267578125
n1,sn,sd016,18,0.255859375,-0.2103937930822441,-0.26385172186345246,0.234375,0.248046875,0.2578125
n1,sn,sd016,19,0.275390625,-1.3977125000787218,-0.4244010148469185,0.23828125,0.248046875,0.263671875
n1,sn,sd016,20,0.224609375,-0.20486839196150425,0.005524897448150052,0.28515625,0.28515625,0.28515625
n1,sn,sd016,21,0.28125,-0.5139106132014604,-0.043965544558599724,0.220703125,0.2578125,0.275390625
n1,sn,sd016,22,0.251953125,-0.5385205513892898,-0.43057814481899603,0.236328125,0.248046875,0.259765625
n1,sn,sd016,23,0.27734375,-0.187135628864868,-0.11292240765730763,0.2578125,0.267578125,0.2734375
n1,sn,sd016,24,0.267578125,-1.1413280573241993,-0.41620528389827105,0.240234375,0.2578125,0.267578125
n1,sn,sd016,25,0.236328125,-0.44499480504766076,-0.26586809829927005,0.23046875,0.23828125,0.251953125
n1,sn,sd016,26,0.271484375,-0.06036316289369288,-0.3604620408095671,0.2421875,0.259765625,0.26953125
n1,sn,sd016,27,0.267578125,-0.9727508097450568,-0.42048396068276195,0.232421875,0.2578125,0.267578125
n1,sn,sd016,28,0.267578125,-0.35593649690138357,-0.4429380608222162,0.236328125,0.25,0.263671875
n1,sn,sd016,29,0.275390625,-0.5852459046829998,-0.40253021729898125,0.23046875,0.240234375,0.26171875
n1,sn,sd016,30,0.263671875,-0.03677729022855259,-0.33491678220419163,0.244140625,0.2578125,0.267578125
n1,sn,sd016,31,0.267578125,-0.18936041489209374,-0.30259359813374737,0.234375,0.25,0.263671875
n1,sn,sd016,32,0.271484375,0.08368341917630145,-0.18469881879044986,0.24609375,0.259765625,0.26953125
n1,sn,sd016,33,0.271484375,-0.7632890573454677,-0.44666295295272945,0.234375,0.251953125,0.265625
n1,sn,sd016,34,0.275390625,-0.7322154738202431,-0.22872445889188978,0.24609375,0.255859375,0.26953125
n1,sn,sd016,35,0.27734375,-0.12588494377975712,-0.34383157876560666,0.23828125,0.251953125,0.263671875
n1,sn,sd016,36,0.265625,-0.6125106420305987,-0.31067830877511604,0.25,0.259765625,0.26953125
n1,sn,sd016,37,0.263671875,-0.4720545393307947,-0.34852266303949136,0.234375,0.251953125,0.263671875
n1,sn,sd016,38,0.26171875,0.14028495954294168,-0.33551230567512236,0.23828125,0.255859375,0.265625
n1,sn,sd016,39,0.267578125,0.09787647689850489,-0.5025982272311209,0.240234375,0.255859375,0.265625
n1,sn,sd016,40,0.224609375,0.20655997461652364,0.0177672503404509,0.28515625,0.28515625,0.28515625
n1,sn,sd016,41,0.271484375,-0.7719752978368581,-0.2164138576799997,0.234375,0.26171875,0.26953125
n1,sn,sd016,42,0.263671875,-0.31645754135884246,-0.4289438475897837,0.234375,0.25,0.263671875
n1,sn,sd016,43,0.271484375,-0.041950574575640144,-0.3274099405708471,0.2421875,0.255859375,0.267578125
n1,sn,sd016,44,0.236328125,-0.4810018025603619,-0.37450992723243,0.232421875,0.2421875,0.2578125
n1,sn,sd016,45,0.265625,0.09044789156365937,-0.3901821567305684,0.23828125,0.251953125,0.263671875
n1,sn,sd016,46,0.26953125,-0.6484929970096781,-0.44864513749809576,0.234375,0.251953125,0.265625
n1,sn,sd016,47,0.263671875,-0.6810867311193353,-0.3914498862508265,0.2421875,0.25390625,0.265625
n1,sn,sd016,48,0.255859375,-0.09653140217447766,-0.17215206306728556,0.234375,0.25,0.26171875
n1,sn,sd016,49,0.244140625,-0.38370078529255536,-0.3423055963058205,0.234375,0.244140625,0.2578125
n1,sn,sd017,0,0.228515625,-4.3584039013665885,-1.1778291675967816,0.21484375,0.224609375,0.232421875
n1,sn,sd017,1,0.224609375,-3.7910759175958866,-1.1898392882091522,0.212890625,0.22265625,0.232421875
n1,sn,sd017,2,0.228515625,-3.696212921015712,-0.9764663727315678,0.212890625,0.22265625,0.232421875
n1,sn,sd017,3,0.2265625,-3.53163297455214,-1.1054296578500242,0.21484375,0.22265625,0.232421875
