LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AK
1715670873.739490,2236592.000,38690,2,AK,1,100,37842
1715670876.424139,2239153.000,38690,2,AK,1,100,RD
1715670876.438291,2239166.500,38693,2,AK,1,100,38691
1715670876.452443,2239180.000,38693,2,AK,1,100,RD
1715670879.141810,2241745.500,39539,2,AK,1,100,38691
1715670881.831177,2244311.000,39539,2,AK,1,100,RD
1715670881.850046,2244329.000,39542,2,AK,1,100,39540
1715670881.868915,2244347.000,39542,2,AK,1,100,RD
1715670884.527358,2246883.000,40384,2,AK,1,100,39540
1715670887.185801,2249419.000,40384,2,AK,1,100,RD
1715670887.221966,2249453.500,40387,2,AK,1,100,40385
1715670887.258132,2249488.000,40387,2,AK,1,100,RD
1715670889.922864,2252030.000,41234,2,AK,1,100,40385
1715670892.587597,2254572.000,41234,2,AK,1,100,RD
1715670892.608562,2254592.000,41237,2,AK,1,100,41235
1715670892.629528,2254612.000,41237,2,AK,1,100,RD
1715670895.292688,2257152.500,42085,2,AK,1,100,41235
1715670897.955848,2259693.000,42085,2,AK,1,100,RD
1715670897.987821,2259723.500,42088,2,AK,1,100,42086
1715670898.019793,2259754.000,42088,2,AK,1,100,RD
1715670900.665133,2262277.500,42919,2,AK,1,100,42086
1715670903.310472,2264801.000,42919,2,AK,1,100,RD
1715670903.327244,2264817.000,42922,2,AK,1,100,42920
1715670903.344017,2264833.000,42922,2,AK,1,100,RD
1715670906.003508,2267370.000,43768,2,AK,1,100,42920
1715670908.662999,2269907.000,43768,2,AK,1,100,RD
1715670908.677150,2269920.500,43771,2,AK,1,100,43769
1715670908.691302,2269934.000,43771,2,AK,1,100,RD
1715670914.056933,2275052.500,45462,2,AK,1,100,44615
1715670919.422563,2280171.000,45462,2,AK,1,100,RD
1715670919.438812,2280186.500,45465,2,AK,1,100,45463
1715670919.455060,2280202.000,45465,2,AK,1,100,RD
1715670922.112978,2282737.500,46293,2,AK,1,100,45463
1715670924.770897,2285273.000,46293,2,AK,1,100,RD
1715670924.809160,2285309.500,46296,2,AK,1,100,46294
1715670924.847422,2285346.000,46296,2,AK,1,100,RD
1715670927.512678,2287888.500,47141,2,AK,1,100,46294
1715670930.177935,2290431.000,47141,2,AK,1,100,RD
1715670930.192087,2290444.500,47144,2,AK,1,100,47142
1715670930.206239,2290458.000,47144,2,AK,1,100,RD
1715670932.878833,2293007.500,47969,2,AK,1,100,47967
1715670935.551427,2295557.000,47969,2,AK,1,100,RD
1715670938.232932,2298115.000,48820,2,AK,1,100,47967
1715670940.914437,2300673.000,48820,2,AK,1,100,RD
1715670940.930161,2300688.000,48823,2,AK,1,100,48821
1715670940.945886,2300703.000,48823,2,AK,1,100,RD
1715670943.612190,2303246.500,49665,2,AK,1,100,48821
1715670946.278495,2305790.000,49665,2,AK,1,100,RD
