LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,TL,LC,
1715670790.980784,2157645,25185,4,TX,1,100,2024-05-14_12-43-10-933048,486225.2059123,
1715670791.627574,2158262,25287,4,TX,1,100,2024-05-14_12-43-11-633247,486225.9061114,
1715670792.251302,2158857,25391,4,TX,1,100,2024-05-14_12-43-12-232661,486226.5055255,
1715670792.924299,2159499,25494,4,TX,1,100,2024-05-14_12-43-12-932631,486227.2054949,
1715670794.310127,2160821,25715,4,TX,1,100,2024-05-14_12-43-14-265821,486228.5386846,
1715670794.964255,2161445,25817,4,TX,1,100,2024-05-14_12-43-14-832514,486229.1053783,
1715670795.577500,2162030,25921,4,TX,1,100,2024-05-14_12-43-15-566212,486229.8390765,
1715670796.161393,2162587,26014,4,TX,1,100,2024-05-14_12-43-16-165991,486230.4388549,
1715670796.888901,2163281,26134,4,TX,1,100,2024-05-14_12-43-16-832295,486231.1051592,
1715670797.426669,2163794,26218,4,TX,1,100,2024-05-14_12-43-17-432644,486231.7055085,
1715670798.057735,2164396,26321,4,TX,1,100,2024-05-14_12-43-18-066314,486232.3391782,
1715670798.698235,2165007,26424,4,TX,1,100,2024-05-14_12-43-18-665840,486232.9387043,
1715670799.451950,2165726,26545,4,TX,1,100,2024-05-14_12-43-19-399355,486233.6722196,
1715670799.888035,2166142,26614,4,TX,1,100,2024-05-14_12-43-19-899686,486234.1725502,
1715670800.655377,2166874,26735,4,TX,1,100,2024-05-14_12-43-20-632549,486234.9054136,
1715670801.197339,2167391,26811,4,TX,1,100,2024-05-14_12-43-21-199257,486235.4721211,
1715670801.920653,2168081,26930,4,TX,1,100,2024-05-14_12-43-21-932851,486236.2057154,
1715670802.586312,2168716,27034,4,TX,1,100,2024-05-14_12-43-22-532645,486236.8055094,
1715670803.210040,2169311,27135,4,TX,1,100,2024-05-14_12-43-23-166360,486237.4392236,
1715670804.569662,2170608,27358,4,TX,1,100,2024-05-14_12-43-24-499815,486238.7726788,
1715670805.106382,2171120,27442,4,TX,1,100,2024-05-14_12-43-25-066013,486239.3388771,
1715670805.887352,2171865,27563,4,TX,1,100,2024-05-14_12-43-25-766284,486240.0391479,
1715670806.367465,2172323,27636,4,TX,1,100,2024-05-14_12-43-26-332990,486240.6058545,
1715670807.022641,2172948,27740,4,TX,1,100,2024-05-14_12-43-27-033424,486241.3062880,
1715670807.618065,2173516,27825,4,TX,1,100,2024-05-14_12-43-27-566505,486241.8393695,
1715670808.392745,2174255,27944,4,TX,1,100,2024-05-14_12-43-28-366033,486242.6388972,
1715670808.947286,2174784,28033,4,TX,1,100,2024-05-14_12-43-28-899263,486243.1721266,
1715670809.667456,2175471,28152,4,TX,1,100,2024-05-14_12-43-29-666124,486243.9389885,
1715670810.324729,2176098,28256,4,TX,1,100,2024-05-14_12-43-30-199798,486244.4726619,
1715670811.221010,2176953,28392,4,TX,1,100,2024-05-14_12-43-30-899321,486245.1721855,
1715670812.215829,2177902,28551,4,TX,1,100,2024-05-14_12-43-32-165958,486246.4388219,
1715670812.742067,2178404,28636,4,TX,1,100,2024-05-14_12-43-32-699320,486246.9721840,
1715670813.593271,2179216,28774,4,TX,1,100,2024-05-14_12-43-33-532698,486247.8055621,
1715670814.062902,2179664,28843,4,TX,1,100,2024-05-14_12-43-34-066672,486248.3395360,
1715670815.115377,2180668,29014,4,TX,1,100,2024-05-14_12-43-34-766594,486249.0394579,
1715670815.554607,2181087,29084,4,TX,1,100,2024-05-14_12-43-35-299636,486249.5724998,
1715670816.001175,2181513,29152,4,TX,1,100,2024-05-14_12-43-36-000493,486250.2733567,
1715670816.512736,2182001,29239,4,TX,1,100,2024-05-14_12-43-36-499384,486250.7722481,
1715670817.363941,2182813,29378,4,TX,1,100,2024-05-14_12-43-37-333502,486251.6063660,
1715670817.917434,2183341,29467,4,TX,1,100,2024-05-14_12-43-37-932978,486252.2058217,
1715670818.553741,2183948,29571,4,TX,1,100,2024-05-14_12-43-38-566503,486252.8393675,
1715670820.342110,2185654,29855,4,TX,1,100,2024-05-14_12-43-39-900024,486254.1728886,
1715670820.472097,2185778,29876,4,TX,1,100,2024-05-14_12-43-40-399985,486254.6728490,
1715670821.217425,2186489,29996,4,TX,1,100,2024-05-14_12-43-41-233014,486255.5058777,
1715670821.733180,2186981,30080,4,TX,1,100,2024-05-14_12-43-41-733111,486256.0059752,
1715670822.391501,2187609,30183,4,TX,1,100,2024-05-14_12-43-42-399638,486256.6725024,
1715670822.981683,2188172,30277,4,TX,1,100,2024-05-14_12-43-42-999835,486257.2726989,
1715670823.924089,2189071,30430,4,TX,1,100,2024-05-14_12-43-43-799794,486258.0726580,
1715670824.352836,2189480,30500,4,TX,1,100,2024-05-14_12-43-44-366246,486258.6391099,
1715670825.091875,2190185,30619,4,TX,1,100,2024-05-14_12-43-45-066964,486259.3398282,
1715670825.547878,2190620,30690,4,TX,1,100,2024-05-14_12-43-45-566698,486259.8395617,
1715670826.386503,2191420,30824,4,TX,1,100,2024-05-14_12-43-46-299554,486260.5724178,
1715670826.901209,2191911,30910,4,TX,1,100,2024-05-14_12-43-46-832892,486261.1057562,
1715670827.577351,2192556,31014,4,TX,1,100,2024-05-14_12-43-47-600024,486261.8728881,
1715670828.191644,2193142,31121,4,TX,1,100,2024-05-14_12-43-48-200275,486262.4731391,
1715670828.844724,2193765,31227,4,TX,1,100,2024-05-14_12-43-48-866338,486263.1392019,
1715670829.414989,2194309,31314,4,TX,1,100,2024-05-14_12-43-49-400376,486263.6732400,
1715670830.468512,2195314,31483,4,TX,1,100,2024-05-14_12-43-50-133366,486264.4062305,
1715670830.709617,2195544,31520,4,TX,1,100,2024-05-14_12-43-50-733319,486265.0061827,
1715670831.461235,2196261,31639,4,TX,1,100,2024-05-14_12-43-51-466414,486265.7392784,
1715670832.108025,2196878,31741,4,TX,1,100,2024-05-14_12-43-52-066165,486266.3390295,
1715670832.723366,2197465,31845,4,TX,1,100,2024-05-14_12-43-52-699570,486266.9724337,
1715670833.344998,2198058,31934,4,TX,1,100,2024-05-14_12-43-53-299517,486267.5723808,
1715670833.986546,2198670,32041,4,TX,1,100,2024-05-14_12-43-53-999495,486268.2723594,
1715670834.547377,2199205,32127,4,TX,1,100,2024-05-14_12-43-54-566208,486268.8390719,
1715670835.384954,2200004,32263,4,TX,1,100,2024-05-14_12-43-55-332750,486269.6056141,
1715670836.026503,2200616,32367,4,TX,1,100,2024-05-14_12-43-55-932818,486270.2056825,
1715670836.571609,2201136,32453,4,TX,1,100,2024-05-14_12-43-56-532921,486270.8057849,
1715670837.090509,2201631,32540,4,TX,1,100,2024-05-14_12-43-57-099515,486271.3723791,
1715670837.925989,2202428,32675,4,TX,1,100,2024-05-14_12-43-57-866237,486272.1391011,
1715670838.359978,2202842,32745,4,TX,1,100,2024-05-14_12-43-58-366781,486272.6396452,
1715670839.080148,2203529,32824,4,TX,1,100,2024-05-14_12-43-59-099626,486273.3724902,
1715670839.681861,2204103,32924,4,TX,1,100,2024-05-14_12-43-59-633029,486273.9058934,
1715670840.399934,2204788,33028,4,TX,1,100,2024-05-14_12-44-00-399452,486274.6723165,
1715670841.024710,2205384,33132,4,TX,1,100,2024-05-14_12-44-00-933015,486275.2058790,
1715670841.685128,2206014,33234,4,TX,1,100,2024-05-14_12-44-01-666788,486275.9396524,
1715670842.211365,2206516,33322,4,TX,1,100,2024-05-14_12-44-02-233881,486276.5067447,
1715670843.059425,2207325,33458,4,TX,1,100,2024-05-14_12-44-02-999579,486277.2724434,
1715670843.584615,2207826,33546,4,TX,1,100,2024-05-14_12-44-03-599645,486277.8725089,
1715670844.297446,2208506,33639,4,TX,1,100,2024-05-14_12-44-04-266993,486278.5398568,
1715670845.594171,2209743,33842,4,TX,1,100,2024-05-14_12-44-05-566704,486279.8395685,
1715670846.134036,2210258,33927,4,TX,1,100,2024-05-14_12-44-06-099729,486280.3725932,
