LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,B%
1715670598.671387,1974193.000,60725,1,B%,1,100,55
1715670603.660160,1978952.000,61498,1,B%,1,100,54
1715670608.653126,1983715.000,62263,1,B%,1,100,55
1715670613.641899,1988474.000,63003,1,B%,1,100,54
1715670618.639059,1993241.000,63789,1,B%,1,100,56
1715670623.629929,1998002.000,64553,1,B%,1,100,56
1715670628.624992,2002767.000,65261,1,B%,1,100,56
1715670633.613765,2007526.000,507,1,B%,1,100,57
1715670638.613021,2012295.000,1290,1,B%,1,100,57
1715670643.603891,2017056.000,2059,1,B%,1,100,56
1715670648.598953,2021821.000,2837,1,B%,1,100,56
1715670653.590872,2026583.000,3620,1,B%,1,100,57
1715670658.582790,2031345.000,4402,1,B%,1,100,57
1715670663.570514,2036103.000,5201,1,B%,1,100,57
1715670668.559288,2040862.000,5967,1,B%,1,100,57
1715670673.550158,2045623.000,6754,1,B%,1,100,58
1715670678.536834,2050380.000,7536,1,B%,1,100,58
1715670683.525607,2055139.000,8319,1,B%,1,100,57
1715670688.512284,2059896.000,9103,1,B%,1,100,57
1715670693.503154,2064657.000,9868,1,B%,1,100,58
1715670698.490879,2069415.000,10651,1,B%,1,100,58
1715670703.480700,2074175.000,11435,1,B%,1,100,58
1715670708.472618,2078937.000,12219,1,B%,1,100,57
1715670713.464536,2083699.000,13000,1,B%,1,100,58
1715670718.453310,2088458.000,13785,1,B%,1,100,58
1715670723.445228,2093220.000,14550,1,B%,1,100,58
1715670728.440290,2097985.000,15332,1,B%,1,100,57
1715670733.431160,2102746.000,16131,1,B%,1,100,57
1715670738.424127,2107509.000,16897,1,B%,1,100,57
1715670743.414996,2112270.000,17696,1,B%,1,100,58
1715670748.410059,2117035.000,18466,1,B%,1,100,58
1715670753.396736,2121792.000,19235,1,B%,1,100,57
1715670758.392847,2126558.000,20033,1,B%,1,100,55
1715670763.383717,2131319.000,20827,1,B%,1,100,54
1715670768.379828,2136085.000,21634,1,B%,1,100,52
1715670773.371746,2140847.000,22428,1,B%,1,100,54
1715670778.368906,2145614.000,23209,1,B%,1,100,52
1715670783.359775,2150375.000,24006,1,B%,1,100,53
1715670788.354838,2155140.000,24797,1,B%,1,100,53
1715670793.346756,2159902.000,25579,1,B%,1,100,53
1715670798.341819,2164667.000,26390,1,B%,1,100,53
1715670803.330592,2169426.000,27172,1,B%,1,100,54
1715670808.323559,2174189.000,27963,1,B%,1,100,53
1715670813.310236,2178946.000,28755,1,B%,1,100,53
1715670818.302154,2183708.000,29551,1,B%,1,100,54
1715670823.288830,2188465.000,30344,1,B%,1,100,52
1715670828.277603,2193224.000,31159,1,B%,1,100,54
1715670833.268473,2197985.000,31954,1,B%,1,100,54
1715670838.258295,2202745.000,32742,1,B%,1,100,54
1715670843.250213,2207507.000,33510,1,B%,1,100,53
1715670848.240034,2212267.000,34287,1,B%,1,100,54
1715670853.229856,2217027.000,35065,1,B%,1,100,53
1715670858.219677,2221787.000,35861,1,B%,1,100,55
1715670863.210547,2226548.000,36644,1,B%,1,100,54
1715670868.199320,2231307.000,37421,1,B%,1,100,54
1715670873.194383,2236072.000,38188,1,B%,1,100,53
1715670878.182108,2240830.000,38971,1,B%,1,100,53
1715670883.181364,2245599.000,39767,1,B%,1,100,52
1715670888.171185,2250359.000,40550,1,B%,1,100,52
1715670893.167297,2255125.000,41328,1,B%,1,100,52
1715670898.156070,2259884.000,42126,1,B%,1,100,53
1715670903.151133,2264649.000,42917,1,B%,1,100,52
1715670908.144099,2269412.000,43714,1,B%,1,100,52
1715670913.138114,2274176.000,44495,1,B%,1,100,53
1715670918.130032,2278938.000,45288,1,B%,1,100,53
1715670923.126143,2283704.000,46052,1,B%,1,100,51
1715670928.118061,2288466.000,46826,1,B%,1,100,53
1715670933.115221,2293233.000,47596,1,B%,1,100,52
1715670938.103994,2297992.000,48389,1,B%,1,100,52
1715670943.100105,2302758.000,49181,1,B%,1,100,52
1715670948.089926,2307518.000,49961,1,B%,1,100,51
1715670953.081844,2312280.000,50739,1,B%,1,100,53
1715670958.075859,2317044.000,51541,1,B%,1,100,53
1715670963.067777,2321806.000,52318,1,B%,1,100,53
1715670968.062840,2326571.000,53046,1,B%,1,100,51
1715670973.056855,2331335.000,53838,1,B%,1,100,52
1715670978.046676,2336095.000,54603,1,B%,1,100,52
1715670983.041739,2340860.000,55253,1,B%,1,100,53
1715670988.031560,2345620.000,56050,1,B%,1,100,52
1715670993.027672,2350386.000,56828,1,B%,1,100,52
1715670998.018541,2355147.000,57590,1,B%,1,100,52
1715671003.017797,2359916.000,58353,1,B%,1,100,52
1715671008.007619,2364676.000,59111,1,B%,1,100,51
1715671013.004778,2369443.000,59747,1,B%,1,100,49
1715671017.990407,2374199.000,60542,1,B%,1,100,51
1715671022.986518,2378965.000,61335,1,B%,1,100,51
1715671027.977388,2383726.000,62112,1,B%,1,100,51
1715671032.970354,2388489.000,62896,1,B%,1,100,52
1715671037.961224,2393250.000,63709,1,B%,1,100,52
1715671042.955239,2398014.000,64480,1,B%,1,100,52
1715671047.947156,2402776.000,65276,1,B%,1,100,51
1715671052.941171,2407540.000,538,1,B%,1,100,51
1715671057.929944,2412299.000,1317,1,B%,1,100,50
1715671062.917669,2417057.000,2111,1,B%,1,100,52
1715671067.909587,2421819.000,2925,1,B%,1,100,51
1715671072.897312,2426577.000,3716,1,B%,1,100,53
1715671077.888182,2431338.000,4531,1,B%,1,100,52
1715671082.873811,2436094.000,5328,1,B%,1,100,52
1715671087.867825,2440858.000,6118,1,B%,1,100,51
1715671092.856598,2445617.000,6917,1,B%,1,100,51
1715671097.850613,2450381.000,7714,1,B%,1,100,51
1715671102.837290,2455138.000,8507,1,B%,1,100,51
1715671107.831304,2459902.000,9321,1,B%,1,100,52
1715671112.817981,2464659.000,10126,1,B%,1,100,51
1715671117.814092,2469425.000,10916,1,B%,1,100,51
1715671122.802865,2474184.000,11718,1,B%,1,100,50
1715671127.797928,2478949.000,12517,1,B%,1,100,51
1715671132.788798,2483710.000,13293,1,B%,1,100,52
1715671137.783861,2488475.000,14101,1,B%,1,100,51
1715671142.772634,2493234.000,14898,1,B%,1,100,52
1715671147.769794,2498001.000,15691,1,B%,1,100,52
1715671152.759615,2502761.000,16506,1,B%,1,100,51
1715671157.756774,2507528.000,17268,1,B%,1,100,52
1715671162.745548,2512287.000,18080,1,B%,1,100,50
1715671167.740611,2517052.000,18879,1,B%,1,100,51
1715671172.731480,2521813.000,19658,1,B%,1,100,51
1715671177.723398,2526575.000,20466,1,B%,1,100,51
1715671182.712172,2531334.000,21255,1,B%,1,100,51
1715671187.704090,2536096.000,22049,1,B%,1,100,51
1715671192.692863,2540855.000,22807,1,B%,1,100,50
1715671197.686877,2545619.000,23621,1,B%,1,100,51
1715671202.676699,2550379.000,24416,1,B%,1,100,50
